序列,值
2017-08-02 00:15:00,6.2094
2017-08-02 00:30:00,6.1216
2017-08-02 00:45:00,5.7725
2017-08-02 01:00:00,6.6325
2017-08-02 01:15:00,6.9101
2017-08-02 01:30:00,5.6731
2017-08-02 01:45:00,5.6378
2017-08-02 02:00:00,7.3928
2017-08-02 02:15:00,6.2491
2017-08-02 02:30:00,5.1708
2017-08-02 02:45:00,7.5154
2017-08-02 03:00:00,4.5276
2017-08-02 03:15:00,6.3491
2017-08-02 03:30:00,7.4775
2017-08-02 03:45:00,6.2338
2017-08-02 04:00:00,4.388999999999999
2017-08-02 04:15:00,4.3831
2017-08-02 04:30:00,4.908
2017-08-02 04:45:00,5.3638
2017-08-02 05:00:00,5.8504
2017-08-02 05:15:00,5.7539
2017-08-02 05:30:00,4.3356
2017-08-02 05:45:00,3.9789999999999996
2017-08-02 06:00:00,4.8319
2017-08-02 06:15:00,4.3375
2017-08-02 06:30:00,5.7625
2017-08-02 06:45:00,4.1961
2017-08-02 07:00:00,3.8833
2017-08-02 07:15:00,7.9155
2017-08-02 07:30:00,9.0052
2017-08-02 07:45:00,10.525
2017-08-02 08:00:00,24.9479
2017-08-02 08:15:00,29.3316
2017-08-02 08:30:00,34.7421
2017-08-02 08:45:00,39.7509
2017-08-02 09:00:00,35.766
2017-08-02 09:15:00,36.0914
2017-08-02 09:30:00,33.463
2017-08-02 09:45:00,37.8195
2017-08-02 10:00:00,38.2155
2017-08-02 10:15:00,46.8723
2017-08-02 10:30:00,41.732
2017-08-02 10:45:00,45.8784
2017-08-02 11:00:00,38.7829
2017-08-02 11:15:00,40.0794
2017-08-02 11:30:00,40.4159
2017-08-02 11:45:00,32.3723
2017-08-02 12:00:00,17.8286
2017-08-02 12:15:00,16.8596
2017-08-02 12:30:00,17.0855
2017-08-02 12:45:00,20.3326
2017-08-02 13:00:00,18.5656
2017-08-02 13:15:00,21.5719
2017-08-02 13:30:00,18.9139
2017-08-02 13:45:00,23.8979
2017-08-02 14:00:00,21.6173
2017-08-02 14:15:00,25.6966
2017-08-02 14:30:00,30.5923
2017-08-02 14:45:00,29.8844
2017-08-02 15:00:00,27.185
2017-08-02 15:15:00,28.9295
2017-08-02 15:30:00,29.6373
2017-08-02 15:45:00,32.4044
2017-08-02 16:00:00,29.3603
2017-08-02 16:15:00,28.6573
2017-08-02 16:30:00,28.8316
2017-08-02 16:45:00,24.2884
2017-08-02 17:00:00,23.8844
2017-08-02 17:15:00,20.517
2017-08-02 17:30:00,12.6706
2017-08-02 17:45:00,18.3598
2017-08-02 18:00:00,18.3626
2017-08-02 18:15:00,13.9953
2017-08-02 18:30:00,15.6169
2017-08-02 18:45:00,16.1851
2017-08-02 19:00:00,13.0576
2017-08-02 19:15:00,14.0299
2017-08-02 19:30:00,15.1738
2017-08-02 19:45:00,13.7526
2017-08-02 20:00:00,15.4953
2017-08-02 20:15:00,15.7891
2017-08-02 20:30:00,15.1988
2017-08-02 20:45:00,11.1325
2017-08-02 21:00:00,16.5136
2017-08-02 21:15:00,21.3541
2017-08-02 21:30:00,16.3465
2017-08-02 21:45:00,18.5538
2017-08-02 22:00:00,18.0228
2017-08-02 22:15:00,18.7816
2017-08-02 22:30:00,20.8904
2017-08-02 22:45:00,17.2458
2017-08-02 23:00:00,14.652999999999999
2017-08-02 23:15:00,10.5853
2017-08-02 23:30:00,9.7538
2017-08-02 23:45:00,7.9491
2017-08-03 00:00:00,7.4828
2017-08-03 00:15:00,7.3811
2017-08-03 00:30:00,9.0414
2017-08-03 00:45:00,11.034
2017-08-03 01:00:00,8.1824
2017-08-03 01:15:00,7.0519
2017-08-03 01:30:00,6.3112
2017-08-03 01:45:00,7.1129
2017-08-03 02:00:00,5.8786
2017-08-03 02:15:00,6.7026
2017-08-03 02:30:00,6.7795
2017-08-03 02:45:00,5.8736
2017-08-03 03:00:00,5.4015
2017-08-03 03:15:00,5.5788
2017-08-03 03:30:00,6.0545
2017-08-03 03:45:00,5.401
2017-08-03 04:00:00,4.601
2017-08-03 04:15:00,6.1673
2017-08-03 04:30:00,7.6063
2017-08-03 04:45:00,5.682
2017-08-03 05:00:00,6.3441
2017-08-03 05:15:00,5.9184
2017-08-03 05:30:00,4.8219
2017-08-03 05:45:00,6.5124
