时间, Changliu3 - Avg[V 有效值 A] (V), Changliu1 - Avg[V 有效值 A] (V), Changliu2 - Avg[V 有效值 A] (V), Changliu4 - Avg[V 有效值 A] (V), KunYang3 - Avg[V 有效值 A] (V), KunYang1 - Avg[V 有效值 A] (V), WanKe2 - Avg[V 有效值 A] (V), WanKe1 - Avg[V 有效值 A] (V), QinZhou4 - Avg[V 有效值 A] (V), QinZhou3 - Avg[V 有效值 A] (V), JiangChuan5 - Avg[V 有效值 A] (V), JiangChuan3 - Avg[V 有效值 A] (V), JiangChuan1 - Avg[V 有效值 A] (V), JiangChuan4 - Avg[V 有效值 A] (V), JiangChuan2 - Avg[V 有效值 A] (V)
2018-02-01 00:03:00,66689.328125,66608.8984375,66622.4140625,66701.53125,6032.978515625,21057.583984375,6099.68017578125,6042.4541015625,5987.21240234375,6064.17626953125,21204.341796875,65067.05859375,67055.984375,21228.88671875,66518.1015625
2018-02-01 00:06:00,66729.2890625,66658.2265625,66671.65625,66741.5703125,6030.36083984375,21052.384765625,6100.54248046875,6046.033203125,5985.4736328125,6059.5966796875,21197.259765625,65062.6953125,67022.359375,21216.0390625,66502.5703125
2018-02-01 00:09:00,66742.140625,66668.4921875,66681.8515625,66754.4375,6029.826171875,21049.818359375,6101.580078125,6044.109375,5986.658203125,6059.34423828125,21203.0703125,65054.359375,67069.4921875,21232.9375,66517.15625
2018-02-01 00:12:00,66788.2109375,66716.78125,66729.828125,66800.5546875,6033.50048828125,21061.951171875,6103.916015625,6048.87646484375,5988.16455078125,6059.388671875,21211.33203125,65097.171875,67124.4296875,21249.861328125,66526.2265625
2018-02-01 00:15:00,66826.7265625,66738.203125,66750.9375,66839.34375,6037.81689453125,21078.814453125,6091.962890625,6036.65869140625,5993.00146484375,6063.62646484375,21226.5859375,65144.921875,67147.8046875,21256.716796875,66574.6328125
2018-02-01 00:18:00,66842.171875,66780.140625,66793.0,66854.7421875,6034.2177734375,21062.00390625,6092.67138671875,6039.01416015625,5980.61865234375,6048.90673828125,21222.375,65081.58203125,67138.6640625,21255.10546875,66576.5390625
2018-02-01 00:21:00,66846.7109375,66771.9296875,66784.6640625,66859.28125,6027.7861328125,21041.796875,6093.17724609375,6041.08740234375,5981.1337890625,6049.38134765625,21219.298828125,65026.01953125,67163.96875,21264.1796875,66594.4296875
2018-02-01 00:24:00,66852.7421875,66794.359375,66807.484375,66865.5234375,6027.4111328125,21039.669921875,6089.990234375,6036.80029296875,5980.86376953125,6049.06884765625,21219.833984375,65018.09765625,67147.234375,21260.587890625,66594.6328125
2018-02-01 00:27:00,66860.6875,66805.0546875,66818.21875,66873.4453125,6027.32666015625,21039.837890625,6094.60205078125,6041.306640625,5974.845703125,6042.1201171875,21222.7734375,65026.76171875,67127.7421875,21254.255859375,66601.796875
2018-02-01 00:30:00,66890.5,66820.609375,66833.890625,66903.1484375,6025.7109375,21037.19140625,6097.458984375,6042.6005859375,5978.08544921875,6049.615234375,21223.974609375,65024.62890625,67201.71875,21278.650390625,66624.046875
2018-02-01 00:33:00,66905.53125,66840.1171875,66852.890625,66918.0390625,6027.4140625,21043.326171875,6098.2265625,6043.25732421875,5980.68017578125,6051.4765625,21233.712890625,65051.75390625,67196.3671875,21276.61328125,66631.7890625
2018-02-01 00:36:00,66828.3984375,66768.4453125,66781.7578125,66840.6640625,6024.2998046875,21031.220703125,6100.33349609375,6046.3564453125,5981.55859375,6052.8720703125,21230.5390625,65013.80859375,67179.203125,21271.294921875,66635.4609375
2018-02-01 00:39:00,66866.7109375,66807.8828125,66821.265625,66878.9921875,6028.85205078125,21044.76953125,6100.21875,6046.1826171875,5982.44287109375,6055.26416015625,21239.49609375,65037.78125,67220.671875,21284.31640625,66659.6015625
